Participant,Contributions & Attitude,Cooperation with Others,"Focus, Commitments",Team Role Fulfillment,Ability to Communicate,Accuracy
Participant 1,1,1,2,4,1,1
Participant 2,2,4,2,3,3,2
Participant 3,1,3,3,3,1,1
Participant 4,1,4,1,1,4,3
Participant 5,2,4,4,2,2,1
Participant 6,3,3,4,4,1,4
Participant 7,2,3,3,4,1,3
Participant 8,1,1,3,2,1,3
Participant 9,2,3,2,1,2,3
Participant 10,1,3,2,4,1,3
Participant 11,3,1,4,3,2,3
Participant 12,3,1,1,1,2,2
Participant 13,4,1,2,1,3,3
Participant 14,3,4,1,4,3,2
Participant 15,1,4,2,2,4,2
Participant 16,2,3,4,4,2,1
Participant 17,3,2,3,3,1,4
Participant 18,4,2,3,3,2,4
Participant 19,2,3,2,3,1,1
Participant 20,1,3,4,3,4,4
Participant 21,2,1,3,4,1,3
Participant 22,4,2,2,3,4,3
Participant 23,2,4,3,2,3,3
Participant 24,1,1,3,3,4,1
Participant 25,4,1,2,2,4,4
Participant 26,4,1,3,2,3,4
Participant 27,3,2,2,2,3,4
Participant 28,3,1,4,1,2,3
Participant 29,4,2,3,3,2,1
Participant 30,4,4,3,4,3,2
Participant 31,2,3,3,1,4,1
Participant 32,1,3,3,4,4,3
Participant 33,2,3,1,2,3,1
Participant 34,4,1,1,1,4,3
Participant 35,2,4,2,1,2,4
Participant 36,1,2,1,2,4,2
Participant 37,2,3,3,3,1,1
Participant 38,3,2,3,2,2,3
Participant 39,3,2,4,4,4,3
Participant 40,2,4,3,2,4,1
Participant 41,4,3,3,2,2,3
Participant 42,3,2,2,3,1,1
Participant 43,2,2,4,3,1,2
Participant 44,1,4,3,2,2,3
Participant 45,2,1,4,1,2,4
Participant 46,3,1,3,3,4,4
Participant 47,3,4,1,1,4,4
Participant 48,1,1,4,1,4,1
Participant 49,4,3,1,1,1,1
Participant 50,2,1,4,2,3,4
Participant 51,4,2,1,1,3,1
Participant 52,2,4,3,2,1,1
Participant 53,3,4,1,2,4,2
Participant 54,2,1,4,4,2,1
Participant 55,1,4,2,2,1,4
Participant 56,3,4,1,3,3,4
Participant 57,1,4,4,4,2,1
Participant 58,1,3,1,3,1,2
Participant 59,1,3,3,2,4,4
Participant 60,2,4,1,2,1,3
Participant 61,4,3,1,4,4,4
Participant 62,2,3,1,4,2,2
Participant 63,3,1,4,2,2,2
